Test 133: expected = 0, result = 6
Test 160: expected = 0, result = 6
Test 223: expected = 1, result = 4
Test 261: expected = 1, result = 2
Test 290: expected = 1, result = 8
Test 370: expected = 1, result = 6
Test 385: expected = 1, result = 6
Test 400: expected = 2, result = 8
Test 407: expected = 2, result = 3
Test 416: expected = 2, result = 1
Test 432: expected = 2, result = 0
Test 442: expected = 2, result = 1
Test 453: expected = 2, result = 7
Test 483: expected = 2, result = 7
Test 525: expected = 2, result = 8
Test 543: expected = 2, result = 1
Test 554: expected = 2, result = 1
Test 563: expected = 2, result = 1
Test 567: expected = 2, result = 6
Test 586: expected = 2, result = 3
Test 594: expected = 2, result = 8
Test 600: expected = 3, result = 5
Test 612: expected = 3, result = 2
Test 618: expected = 3, result = 7
Test 627: expected = 3, result = 5
Test 670: expected = 3, result = 5
Test 692: expected = 3, result = 5
Test 708: expected = 3, result = 9
Test 715: expected = 3, result = 6
Test 722: expected = 3, result = 1
Test 725: expected = 3, result = 8
Test 730: expected = 3, result = 1
Test 745: expected = 3, result = 9
Test 749: expected = 3, result = 5
Test 760: expected = 3, result = 5
Test 787: expected = 3, result = 1
Test 804: expected = 4, result = 9
Test 826: expected = 4, result = 8
Test 845: expected = 4, result = 9
Test 849: expected = 4, result = 9
Test 864: expected = 4, result = 9
Test 897: expected = 4, result = 1
Test 902: expected = 4, result = 9
Test 955: expected = 4, result = 9
Test 968: expected = 4, result = 6
Test 995: expected = 4, result = 9
Test 1008: expected = 5, result = 6
Test 1017: expected = 5, result = 1
Test 1030: expected = 5, result = 3
Test 1038: expected = 5, result = 8
Test 1040: expected = 5, result = 3
Test 1080: expected = 5, result = 3
Test 1098: expected = 5, result = 8
Test 1118: expected = 5, result = 1
Test 1119: expected = 5, result = 7
Test 1142: expected = 5, result = 1
Test 1147: expected = 5, result = 3
Test 1173: expected = 5, result = 9
Test 1177: expected = 5, result = 3
Test 1188: expected = 5, result = 6
Test 1206: expected = 6, result = 4
Test 1251: expected = 6, result = 0
Test 1253: expected = 6, result = 0
Test 1288: expected = 6, result = 0
Test 1425: expected = 7, result = 9
Test 1455: expected = 7, result = 1
Test 1488: expected = 7, result = 1
Test 1497: expected = 7, result = 9
Test 1514: expected = 7, result = 9
Test 1570: expected = 7, result = 9
Test 1594: expected = 7, result = 1
Test 1605: expected = 8, result = 5
Test 1608: expected = 8, result = 7
Test 1609: expected = 8, result = 1
Test 1612: expected = 8, result = 9
Test 1615: expected = 8, result = 2
Test 1628: expected = 8, result = 6
Test 1644: expected = 8, result = 1
Test 1646: expected = 8, result = 5
Test 1649: expected = 8, result = 3
Test 1654: expected = 8, result = 4
Test 1656: expected = 8, result = 5
Test 1671: expected = 8, result = 5
Test 1675: expected = 8, result = 5
Test 1677: expected = 8, result = 0
Test 1678: expected = 8, result = 7
Test 1684: expected = 8, result = 9
Test 1685: expected = 8, result = 3
Test 1692: expected = 8, result = 1
Test 1695: expected = 8, result = 5
Test 1704: expected = 8, result = 3
Test 1710: expected = 8, result = 9
Test 1714: expected = 8, result = 3
Test 1717: expected = 8, result = 1
Test 1725: expected = 8, result = 5
Test 1748: expected = 8, result = 4
Test 1751: expected = 8, result = 7
Test 1758: expected = 8, result = 9
Test 1766: expected = 8, result = 7
Test 1767: expected = 8, result = 4
Test 1768: expected = 8, result = 1
Test 1772: expected = 8, result = 9
Test 1780: expected = 8, result = 9
Test 1794: expected = 8, result = 3
Test 1797: expected = 8, result = 1
Test 1805: expected = 9, result = 3
Test 1813: expected = 9, result = 7
Test 1829: expected = 9, result = 4
Test 1865: expected = 9, result = 0
Test 1878: expected = 9, result = 8
Test 1885: expected = 9, result = 2
Test 1895: expected = 9, result = 7
Test 1901: expected = 9, result = 4
Test 1904: expected = 9, result = 5
Test 1924: expected = 9, result = 4
Test 1939: expected = 9, result = 4
Test 1941: expected = 9, result = 7
Test 1955: expected = 9, result = 4
Test 1966: expected = 9, result = 4
Test 1982: expected = 9, result = 3
Test 1989: expected = 9, result = 4
Test 1997: expected = 9, result = 7

	 1878 / 2000 correct!
